nazev#adresa#ico#izo#reditel#pravni_forma#zrizovatel#id2#typ2#nazev2#obec2#ulice2#cislo_popisne2#cislo_orientacni2#mestska_cast2#psc2#vyucovaci_jazyk2#kapacita2#platnost_zarizeni2#id3#typ3#nazev3#obec3#ulice3#cislo_popisne3#cislo_orientacni3#mestska_cast3#psc3#vyucovaci_jazyk3#kapacita3#platnost_zarizeni3#id4#typ4#nazev4#obec4#ulice4#cislo_popisne4#cislo_orientacni4#mestska_cast4#psc4#vyucovaci_jazyk4#kapacita4#platnost_zarizeni4#id5#typ5#nazev5#obec5#ulice5#cislo_popisne5#cislo_orientacni5#mestska_cast5#psc5#vyucovaci_jazyk5#kapacita5#platnost_zarizeni5#id6#typ6#nazev6#obec6#ulice6#cislo_popisne6#cislo_orientacni6#mestska_cast6#psc6#vyucovaci_jazyk6#kapacita6#platnost_zarizeni6#id7#typ7#nazev7#obec7#ulice7#cislo_popisne7#cislo_orientacni7#mestska_cast7#psc7#vyucovaci_jazyk7#kapacita7#platnost_zarizeni7#id8#typ8#nazev8#obec8#ulice8#cislo_popisne8#cislo_orientacni8#mestska_cast8#psc8#vyucovaci_jazyk8#kapacita8#platnost_zarizeni8#id9#typ9#nazev9#obec9#ulice9#cislo_popisne9#cislo_orientacni9#mestska_cast9#psc9#vyucovaci_jazyk9#kapacita9#platnost_zarizeni9#id10#typ10#nazev10#obec10#ulice10#cislo_popisne10#cislo_orientacni10#mestska_cast10#psc10#vyucovaci_jazyk10#kapacita10#platnost_zarizeni10#zrizovatel_dropdown#Coordinates#Region
Základní škola a Mateřská škola při Fakultní nemocnici, Hradec Králové, Sokolská 581#Sokolská 581, Nový Hradec Králové, 500 03 Hradec Králové#70837554#600023915#Mgr. Blanka Kovandová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102754713#A00#Mateřská škola#Hradec Králové#Sokolská#581.0##Nový Hradec Králové#50003.0##30#Platné#102078297.0#B00#Základní škola#Hradec Králové#Sokolská#581.0##Nový Hradec Králové#50003.0##60#Platné#181106825.0#G22#Školní klub#Hradec Králové#Sokolská#581.0##Nový Hradec Králové#50003.0##60#Platné#########################################################################KÚ Královéhradeckého kraje#(50.2011528, 15.8398168)#Královéhradecký kraj
Mateřská škola, základní škola a střední škola Daneta, s.r.o.#Nerudova 1180/28, Pražské Předměstí, 500 02 Hradec Králové#25262165#600023940#Mgr. Monika Bourová#společnost s ručením omezeným#Není uveden#48162485#B00#Základní škola#Hradec Králové#Nerudova#1180.0#28.0#Pražské Předměstí#50002.0##70#Platné#110011473.0#C00#Střední škola#Hradec Králové#Lidická#1175.0#2.0#Slezské Předměstí#50002.0##44#Platné#110011481.0#G21#Školní družina#Hradec Králové#Nerudova#1180.0#28.0#Pražské Předměstí#50002.0##40#Platné#150061790.0#G22#Školní klub#Hradec Králové#Nerudova#1180.0#28.0#Pražské Předměstí#50002.0##24#Platné#110011490.0#L11#Školní jídelna#Hradec Králové#Nerudova#1180.0#28.0#Pražské Předměstí#50002.0##120#Platné#181004917.0#A00#Mateřská škola#Hradec Králové#Uhelná#1142.0#1.0#Slezské Předměstí#50003.0##29#Platné#181004925.0#L13#Školní jídelna - výdejna#Hradec Králové#Uhelná#1142.0#1.0#Slezské Předměstí#50003.0##67.0#Platné#########################KÚ Královéhradeckého kraje#(50.2102757, 15.815565)#Královéhradecký kraj
PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.#Hrubínova 1458/1, Pražské Předměstí, 500 02 Hradec Králové#25263633#600023958#Mgr. Miriam Urbanová#společnost s ručením omezeným#Není uveden#110032349#A00#Mateřská škola#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##21#Platné#61223174.0#B00#Základní škola#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##58#Platné#110032365.0#G12#Stanice zájmových činností#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##neuvádí se#Platné#110032357.0#G21#Školní družina#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##16#Platné#151036918.0#G40#Zařízení pro další vzdělávání ped. prac.#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##neuvádí se#Platné#108007944.0#K20#Speciálně pedagogické centrum#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##neuvádí se#Platné#110100468.0#L13#Školní jídelna - výdejna#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##90.0#Platné#181073501.0#C00#Střední škola#Hradec Králové#Hrubínova#1458.0#1.0#Pražské Předměstí#50002.0##12.0#Platné#############KÚ Královéhradeckého kraje#(50.1995899, 15.8142005)#Královéhradecký kraj
Mateřská škola, Speciální základní škola a Praktická škola, Hradec Králové#Hradecká 1231/11b, 500 03 Hradec Králové#62693514#600023974#Mgr. Pavel Záleský#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#62690574#A00#Mateřská škola#Hradec Králové#Markovická#621.0#9.0#Slezské Předměstí#50003.0##53#Platné#102078327.0#B00#Základní škola#Hradec Králové#Hradecká#1231.0#11.0#Hradec Králové#50003.0##366#Platné#110013387.0#C00#Střední škola#Hradec Králové#Hradecká#1231.0#11.0#Hradec Králové#50003.0##26#Platné#110013395.0#G21#Školní družina#Hradec Králové#Hradecká#1231.0#11.0#Hradec Králové#50003.0##84#Platné#108007693.0#K20#Speciálně pedagogické centrum#Hradec Králové#Hradecká#1231.0#11.0#Hradec Králové#50003.0##neuvádí se#Platné#110100077.0#L13#Školní jídelna - výdejna#Hradec Králové#Markovická#621.0#9.0#Slezské Předměstí#50003.0##73#Platné#####################################KÚ Královéhradeckého kraje#(50.2022109, 15.8330064)#Královéhradecký kraj
Vyšší odborná škola, Střední škola, Základní škola a Mateřská škola, Hradec Králové, Štefánikova 549#Štefánikova 549/27, Moravské Předměstí, 500 11 Hradec Králové#62690361#600024016#Mgr. Bc. Iva Rindová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#62690361#A00#Mateřská škola#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##133#Platné#110013417.0#B00#Základní škola#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##302#Platné#110013450.0#C00#Střední škola#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##160#Platné#110013425.0#G21#Školní družina#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##64#Platné#110013409.0#H21#Internát#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##135#Platné#108007707.0#K20#Speciálně pedagogické centrum#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##neuvádí se#Platné#102754756.0#L11#Školní jídelna#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##592.0#Platné#110100069.0#L13#Školní jídelna - výdejna#Hradec Králové#Brněnská#268.0#16.0#Nový Hradec Králové#50006.0##30.0#Platné#181078520.0#E00#Vyšší odborná škola#Hradec Králové#Štefánikova#549.0#27.0#Moravské Předměstí#50011.0##84.0#Platné#KÚ Královéhradeckého kraje#(50.1840964, 15.8376909)#Královéhradecký kraj
Praktická škola, Základní škola a Mateřská škola Josefa Zemana, Náchod#Raisova 677, 547 01 Náchod#70836418#600024245#Ing. Ivo Feistauer#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#110011651#A00#Mateřská škola#Náchod#Bartoňova#951.0##Náchod#54701.0##60#Platné#102266131.0#B00#Základní škola#Náchod#Raisova#677.0##Náchod#54701.0##186#Platné#110011660.0#G21#Školní družina#Náchod#Raisova#677.0###54701.0##38#Platné#110200322.0#K20#Speciálně pedagogické centrum#Náchod#Smiřických#1237.0##Náchod#54701.0##neuvádí se#Platné#181083787.0#C00#Střední škola#Náchod#Raisova#677.0##Náchod#54701.0##19#Platné#################################################KÚ Královéhradeckého kraje#(50.4157363, 16.1679963)#Královéhradecký kraj
Mateřská škola a Základní škola speciální NONA, o.p.s.#Rašínova 313, 549 01 Nové Město nad Metují#25299140#600024261#Mgr. Milena Liskovská Turková#obecně prospěšná společnost#Není uveden#110000021#B00#Základní škola#Nové Město nad Metují#Rašínova#313.0##Nové Město nad Metují#54901.0##62#Platné#150024738.0#G21#Školní družina#Nové Město nad Metují#Rašínova#313.0##Nové Město nad Metují#54901.0##47#Platné#181024462.0#L13#Školní jídelna - výdejna#Nové Město nad Metují#Rašínova#313.0##Nové Město nad Metují#54901.0##50#Platné#181044536.0#A00#Mateřská škola#Nové Město nad Metují#Rašínova#313.0##Nové Město nad Metují#54901.0##12#Platné#############################################################KÚ Královéhradeckého kraje#(50.3526588, 16.1447925)#Královéhradecký kraj
Základní škola a Mateřská škola při dětské léčebně, Janské Lázně, Horní promenáda 268#Horní promenáda 268, 542 25 Janské Lázně#70840261#600024539#Mgr. Lucie Pospíšilová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#108026591#A00#Mateřská škola#Janské Lázně#Horní promenáda#268.0##Janské Lázně#54225.0##84#Platné#102590168.0#B00#Základní škola#Janské Lázně#Horní promenáda#268.0##Janské Lázně#54225.0##527#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.6279238, 15.78036)#Královéhradecký kraj
Mateřská škola, Základní škola a Praktická škola, Trutnov#Horská 160, Horní Staré Město, 541 02 Trutnov#70841179#600024610#Mgr. Jaromír Vašíček#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#110003608#A00#Mateřská škola#Trutnov#Maxima Gorkého#77.0##Kryblice#54101.0##26#Platné#102590346.0#B00#Základní škola#Trutnov#Horská#160.0##Horní Staré Město#54102.0##150#Platné#110003675.0#G21#Školní družina#Trutnov#Horská#160.0##Horní Staré Město#54102.0##35#Platné#150007604.0#L13#Školní jídelna - výdejna#Trutnov#Horská#160.0##Horní Staré Město#54102.0##130#Platné#181031574.0#C00#Střední škola#Trutnov#Horská#160.0##Horní Staré Město#54102.0##42#Platné#################################################KÚ Královéhradeckého kraje#(50.5886063, 15.883305)#Královéhradecký kraj
Mateřská škola, Trutnov, Na Struze 124#Na Struze 124, Horní Předměstí, 541 01 Trutnov#60153041#600024661#Mgr. Daniela Kranátová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#60153041#A00#Mateřská škola#Trutnov#Na Struze#124.0##Horní Předměstí#54101.0##112#Platné#110036999.0#K20#Speciálně pedagogické centrum#Trutnov#Na Struze#124.0##Horní Předměstí#54101.0##neuvádí se#Platné#102906858.0#L11#Školní jídelna#Trutnov#Na Struze#124.0##Horní Předměstí#54101.0##115#Platné#########################################################################KÚ Královéhradeckého kraje#(50.5594088, 15.91333)#Královéhradecký kraj
Dětský domov, mateřská škola a školní jídelna, Broumov, třída Masarykova 246#třída Masarykova 246, 550 01 Broumov#48623741#600029689#Mgr. Hana Židová#příspěvková organizace#Královéhradecký kraj, Pivovarské náměstí 1245/2, 500 03 Hradec Králové#102266395#A00#Mateřská škola#Broumov#třída Masarykova#250.0##Broumov#55001.0##47#Platné#108024288.0#J11#Dětský domov#Broumov#třída Masarykova#246.0##Broumov#55001.0##58#Platné#102954089.0#L11#Školní jídelna#Broumov#třída Masarykova#250.0##Broumov#55001.0##130#Platné#########################################################################KÚ Královéhradeckého kraje#(50.5885538, 16.3277075)#Královéhradecký kraj
Brána, střední škola, základní škola a mateřská škola#Heřmanická 340, 509 01 Nová Paka#71340947#651040710#Mgr. Dana Kašparová#školská právnická osoba#Sbor Jednoty bratrské v Nové Pace, Kollárova 456, 509 01 Nová Paka#168102722#A00#Mateřská škola#Nová Paka#Heřmanická#340.0##Nová Paka#50901.0##35#Platné#151040729.0#B00#Základní škola#Nová Paka#Heřmanická#340.0##Nová Paka#50901.0##180#Platné#168102731.0#G21#Školní družina#Nová Paka#Heřmanická#340.0##Nová Paka#50901.0##52#Platné#181093642.0#L11#Školní jídelna#Nová Paka#Heřmanická#340.0##Nová Paka#50901.0##150#Platné#181127024.0#C00#Střední škola#Nová Paka#Kollárova#456.0##Nová Paka#50901.0##60#Platné#181127059.0#H22#Domov mládeže#Nová Paka#Masarykovo náměstí#18.0##Nová Paka#50901.0##30#Platné#####################################KÚ Královéhradeckého kraje#(50.4870551, 15.5198113)#Královéhradecký kraj
Mateřská škola Sion, Hradec Králové#Na Kotli 1201/27, 500 09 Hradec Králové#75051591#668100915#Leona Doksanská#školská právnická osoba#Sion, z.s., Na Kotli 1201/27, 500 09 Hradec Králové#168100924#A00#Mateřská škola#Hradec Králové#Na Kotli#1201.0#27.0#Hradec Králové#50009.0##100#Platné#168100932.0#L13#Školní jídelna - výdejna#Hradec Králové#Na Kotli#1201.0#27.0#Hradec Králové#50009.0##100#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.2023706, 15.8488627)#Královéhradecký kraj
Biskupské gymnázium, církevní základní škola, mateřská škola a základní umělecká škola Hradec Králové#Orlické nábřeží 356/1, 500 03 Hradec Králové#71341072#691000794#Mgr. Jiří Vojáček#školská právnická osoba#Biskupství královéhradecké, Velké náměstí 35/44, 500 01 Hradec Králové#150076240#A00#Mateřská škola#Hradec Králové#Na Hradě#90.0#2.0#Hradec Králové#50003.0##56#Platné#110035810.0#B00#Základní škola#Hradec Králové#Na Hradě#90.0#2.0#Hradec Králové#50003.0##270#Platné#45978298.0#C00#Střední škola#Hradec Králové#Orlické nábřeží#356.0#1.0#Hradec Králové#50003.0##620#Platné#181001594.0#G22#Školní klub#Hradec Králové#Na Hradě#90.0#2.0#Hradec Králové#50003.0##357#Platné#110035828.0#G21#Školní družina#Hradec Králové#Na Hradě#90.0#2.0#Hradec Králové#50003.0##120#Platné#150004168.0#L13#Školní jídelna - výdejna#Hradec Králové#Na Hradě#90.0#2.0#Hradec Králové#50003.0##320#Platné#181087341.0#F10#Základní umělecká škola#Hradec Králové#Orlické nábřeží#356.0#1.0#Hradec Králové#50003.0##236.0#Platné#########################KÚ Královéhradeckého kraje#(50.2063132, 15.8335097)#Královéhradecký kraj
Mateřská škola JUTA#Riegrova 717, 544 01 Dvůr Králové nad Labem#71341161#691001651#Mgr. Dita Pacáková#školská právnická osoba#JUTA a.s., Dukelská 417, 544 01 Dvůr Králové nad Labem#181016885#A00#Mateřská škola#Dvůr Králové nad Labem#Riegrova#717.0##Dvůr Králové nad Labem#54401.0##46#Platné#181016893.0#L11#Školní jídelna#Dvůr Králové nad Labem#Riegrova#717.0##Dvůr Králové nad Labem#54401.0##46#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.4285, 15.8132063)#Královéhradecký kraj
Safari Baby Club - mateřská škola#Mrštíkova 1122, 500 09   Hradec Králové#71341455#691003815#Kamila Bucherová#školská právnická osoba#Kamila Bucherová, Švabinského 519/4, Slezské Předměstí, 500 03 Hradec Králové#181033623#A00#Mateřská škola#Hradec Králové#Mrštíkova#1122.0#40.0#Nový Hradec Králové#50009.0##40#Platné#181033631.0#L13#Školní jídelna - výdejna#Hradec Králové#Mrštíkova#1122.0#40.0#Nový Hradec Králové#50009.0##40#Platné#####################################################################################KÚ Královéhradeckého kraje#(50.1996052, 15.8577531)#Královéhradecký kraj
